HathiTrust ID	Date	Language(s)	Includes	Text Quality	Diagrams	Diagram Quality	Format Comments	Other Comments
gri.ark:/13960/t3vt3074v	1482	Latin	Euclid.Elements:1-15	incunable	marginal	good	basic	
ucm.5317955077	1537	Latin	Euclid.Elements:1-15	color,abbreviations,ligatures	inline	good	titles,initials	Campanus and Zamberti's translations
ucm.532247862x	1558	Greek,Latin	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,initials	
ucm.5316864701	1574	Latin	Euclid.Elements:1-9	color,ligatures	inline	good	titles,inline comments,marginal comments,initials	
ucm.5320234064	1574	Latin	Euclid.Elements:1-9	b&w,some color,abbreviations,ligatures	inline	good	titles,inline comments,marginal comments,initials	
mdp.39015063894243	1605	Latin	Euclid.Elements:10	color,symbols	inline	good	titles,marginal comments,scholia,catchwords	
mdp.39015063888773	1607	Latin	Euclid.Elements:7-16	b&w	inline	good	titles,marginal comments	
mdp.39015063888765	1607	Latin	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,marginal comments	
mdp.39015063888781	1607	Latin	Euclid.Elements:1-6	color,ligatures	inline	good	titles,marginal comments,catchwords	
ucm.5323607496	1607	Latin	Euclid.Elements:1-15(selections)	b&w,ligatures	inline	good	titles	
ucm.5323776244	1622	French	Euclid.Elements:1-5	color,ligatures	inline	good	titles,marginal comments,scholia	additional problems
ucm.5326661807	1628	Latin	Euclid.Elements:1-6	color,ligatures	inline	good	titles,marginal comments	
mdp.39015063894524	1632	French	Euclid.Elements:1-15	b&w,ligatures,Greek	inline	good	titles,inline comments,marginal comments,initials	badly imaged (buckled)
ucm.532662493x	1633	Latin	Euclid.Elements:1-6	color,ligatures	inline	good	titles,marginal comments,initials	
mdp.39015049415618	1645	Latin	Euclid.Elements:1-13(selections)	b&w,ligatures	foldout	incomplete	titles,inline comments,marginal comments,columns,initials	
mdp.39015066977599	1646	German	Euclid.Elements:1-14	b&w,Blackletter,symbols,fractions	inline	good	titles,marginal comments,catchwords	
mdp.39015039353290	1647	Dutch	Euclid.Elements:1-6	b&w,font	inline	good	titles,initials,catchwords	
mdp.39015063888757	1654	Latin	Euclid.Elements:1-16	b&w,ligatures	inline	good	titles,inline comments,marginal comments,initials	many bad quality images
mdp.39015009245484	1673	Latin	Euclid.Elements:1-6	b&w	inline	good	titles,marginal comments	
mdp.39015063889037	1679	Latin	Euclid.Elements:1-7	color	foldout	not scanned	titles,marginal comments,catchwords	
ucm.5320258285	1679	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,initials,lower comments,catchwords	
mdp.39015009237481	1680	Italian	Euclid.Elements:1-15	b&w	inline	good	titles,inline scholia,marginal comments,catchwords	
mdp.39015063872751	1686	Italian	Euclid.Elements:1-6	color	inline	good	titles,columns	
ucm.5323611006	1691	Latin	Euclid.Elements:1-15	b&w,ligatures,fractions	foldout	not scanned	titles,initials,catchwords	
mdp.39015063889029	1691	Latin	Euclid.Elements:1-6	b&w	inline	good	titles,marginal comments,inline comments	
mdp.39015063889011	1692	Latin	Euclid.Elements:1-6	b&w,noisy	inline	good	titles,marginal comments	
mdp.39015064319786	1694	German	Euclid.Elements:1-8	b&w,symbols	top of page	good	titles,marginal comments	
mdp.39015069279043	1695	Dutch	Euclid.Elements:1-15	b&w	inline	good	titles,marginal comments,initials,catchwords	
mdp.39015064319638	1699	German	Euclid.Elements:1-6,11-12	color,symbols	top of page	good	titles	
mdp.39015063889003	1701	Latin	Euclid.Elements:1-8	b&w,noisy	foldout	incomplete	titles,marginal comments,catchwords	
mdp.39015068409492	1701	Latin	Euclid.Elements:1-6,11-12	b&w,noisy	inline	good	titles,marginal comments,catchwords	
mdp.39015063875648	1702	Dutch	Euclid.Elements:1-6	b&w,some color,noisy	inline	good	titles,marginal comments	
mdp.39015009245526	1705	Latin	Euclid.Elements:1-6	b&w	inline	good	titles,marginal comments	
njp.32101044597969	1714	English	Euclid.Elements:1-6,11-12	b&w	foldout	not scanned	titles,initials,marginal comments,catchwords	
mdp.39015063889193	1714	English	Euclid.Elements:1-15	b&w,noisy	inline	good	titles,marginal comments	
hvd.hw3pxe	1714	English	Euclid.Elements:1-15	b&w,noisy	inline	good	titles,marginal comments	
mdp.39015065502968	1715	Latin	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
mdp.39015069255514	1719	Latin	Euclid.Elements:1-6	b&w	inline	good	titles,inline scholia	
mdp.39015020914241	1720	French	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,marginal comments	
mdp.39015063888906	1725	Latin	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,marginal comments	
mdp.39015069277849	1726	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,columns	
mdp.39015063888922	1726	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles	
mdp.39015068410839	1727	English	Euclid.Elements:1-6,11-12	b&w	foldout	not scanned	titles,marginal comments	
hvd.hw23ff	1728	English	Euclid.Elements:1-6,11-12	b&w,symbols	inline	good	titles,initials,inline comments,marginal comments,catchwords	
mdp.39015063894540	1730	French	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,inline comments,marginal comments	
mdp.39015065502976	1731	Latin	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
mdp.39015012364546	1732	English	Euclid.Elements:1-15	b&w,symbols	inline	good	titles,marginal comments	
mdp.39015063872769	1734	Italian	Euclid.Elements:1-5	b&w	inline	good		begins p.73
mdp.39015063618329	1735	Italian	Euclid.Elements:1-12	b&w	foldout	not scanned	titles,marginal comments	
nyp.33433087574483	1737	Latin	Euclid.Elements:1-6,11-12	b&w,ligatures,symbols	foldout	incomplete	titles,scholia,marginal comments,catchwords	
mdp.39015063888997	1738	Latin	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,inline comments,marginal comments,catchwords	
mdp.39015063894193	1738	French	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,marginal comments	
mdp.39015009236558	1740	Italian	Euclid.Elements:1-6,11-13	b&w	foldout	not scanned	titles,marginal comments	
mdp.39015063872785	1740	Dutch	Euclid.Elements:1-6	b&w	inline	good	titles,marginal comments	
nyp.33433087574244	1743	Latin	Euclid.Elements:1-6,11-12	b&w,ligatures	foldout	incomplete	titles,initials,inline comments,catchwords	
mdp.39015063888989	1743	Latin	Euclid.Elements:1-15	b&w	inline	good	titles,marginal comments	
mdp.39015064319778	1744	German	Euclid.Elements:1-8	b&w,symbols	top of page	good	titles,marginal comments	
mdp.39015063889045	1746	Latin	Euclid.Elements:1-6	b&w,ligatures,noisy	inline	good	titles,initials,lower comments,scholia,catchwords	
mdp.39015065502984	1747	Latin	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
mdp.39015063888971	1750	Latin	Euclid.Elements:11-16	b&w,ligatures	foldout	incomplete	titles,marginal comments,initials,catchwords,scholia	
mdp.39015057044797	1751	English	Euclid.Elements:1-15	b&w,symbols,ligatures,fractions	foldout,inline	good	titles,marginal comments,scholia,catchwords	
mdp.39015069255522	1753	Italian	Euclid.Elements:1-6	b&w,symbols	foldout	incomplete	titles,initials,catchwords	
mdp.39015063888963	1756	Latin	Euclid.Elements:1-6	b&w,noisy	inline	good	titles	
mdp.39015009241483	1756	Latin	Euclid.Elements:1-6,11-12	b&w,ligatures	inline	good	titles,marginal comments,catchwords	
mdp.39015067102387	1758	French	Euclid.Elements:1-6	b&w,symbols	top of page	good	complex,marginal comments,initials	
mdp.39015063898616	1762	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
mdp.39015067102064	1762	French	Euclid.Elements:1-6	b&w,noisy,symbols	top of page	good	titles,marginal comments	
mdp.39015063875366	1763	Dutch	Euclid.Elements:1-6,11-12	b&w,symbols	foldout	incomplete	titles,marginal comments	badly imaged in some places
mdp.39015068409450	1765	English	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,initials,lower comments,catchwords	
mdp.39015069279035	1767	Italian	Euclid.Elements:1-6,11-13	b&w,symbols	foldout	incomplete	titles,marginal comments,catchwords	
mdp.39015063888955	1769	Latin	Euclid.Elements:1-15	b&w,symbols	inline	good	titles,initials,marginal comments,catchwords	
mdp.39015063898590	1775	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
mdp.39015063888930	1776	English	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,marginal comments	
mdp.39015030915097	1776	English	Euclid.Elements:1-6,11-12	b&w	foldout	good	titles,marginal comments	
mdp.39015063872702	1778	French	Euclid.Elements:1-6,11-12	b&w	foldout	good	titles,marginal comments,scholia	
nyp.33433069105736	1781	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
umn.31951000084214q	1781	English	Euclid.Elements:1-6	b&w	inline	good	titles	begins p.97
mdp.39015063897469	1781	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
hvd.hw3pdr	1781	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
nyp.33433069105280	1789	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles	
mdp.39015068409583	1791	German	Euclid.Elements:1-6	b&w	foldout	incomplete	titles	
pst.000008260109	1791	English	Euclid.Elements:1-12	b&w	foldout	not scanned	titles,marginal comments,schola,catchwords	
mdp.39015009241434	1792	Italian	Euclid.Elements:1-6,11-13	b&w	foldout	incomplete	titles,marginal comments,lower comments	
mdp.39015063872710	1798	German	Euclid.Elements:1-15	b&w,symbols,Blackletter	inline	good	titles,catchwords	
mdp.39015069255506	1802	Latin	Euclid.Elements:1-12	b&w	inline	good	titles,marginal comments	
uva.x002099304	1803	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,initials,marginal comments	
nyp.33433069105405	1804	French	Euclid.Elements:1-4,6,11-12	b&w	foldout	incomplete	titles,initials,lower comments	
mdp.39015063898558	1804	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments,lower comments	
uc1.$b418978	1805	Italian	Euclid.Elements:1-6,10(selections),11-12	b&w	inline	good	titles,marginal comments	
mdp.39015063898541	1806	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
uc2.ark:/13960/t43r15h9x	1806	English	Euclid.Elements:1-6,11-12	color	inline	good	titles,marginal comments	
nnc1.0035541903	1807	German	Euclid.Elements:1-6,11,12	b&w,symbols	inline	good	titles,initials,catchwords	
chi.11036170	1809	French	Euclid.Elements:1-6,10-12	b&w	foldout	incomplete	titles	
mdp.39015063872736	1809	German	Euclid.Elements:1-15	b&w,noisy,symbols	inline	good	titles	
mdp.39015034603590	1809	Italian	Euclid.Elements:5	b&w,symbols,fractions	none	none	titles	
nyp.33433069105421	1810	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments,lower comments	
chi.11411991	1811	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
uiuo.ark:/13960/t2w37pq4q	1814	Greek,Latin,French	Euclid.Elements:1-7	color	inline	good	complex	
mdp.39015065258843	1814	Greek,Latin,French	Euclid.Elements:1-7	b&w	inline	good	complex	
uiuo.ark:/13960/t3nv9d822	1816	Greek,Latin,French	Euclid.Elements:8-10	color	inline	good	complex	
mdp.39015065258835	1816	Greek,Latin,French	Euclid.Elements:8-10	b&w	inline	good	complex	
inu.30000115432571	1818	German	Euclid.Elements:1-15	b&w,Blackletter,symbols	inline	good	titles,catchwords	
uiuo.ark:/13960/t7xk87w8d	1818	Greek,Latin,French	Euclid.Elements:11-13	color	inline	good	complex	
mdp.39015065258827	1818	Greek,Latin,French	Euclid.Elements:11-13	b&w	inline	good	complex	
chi.48683012	1818	German	Euclid.Elements:1-6,11-12	b&w,symbols,Blackletter	inline	good	titles,catchwords	
nyp.33433062766617	1818	English	Euclid.Elements:1-6	b&w	inline	good	titles,inline comments	
hvd.32044055064778	1821	Greek	Euclid.Elements:10-13	b&w	foldout	not scanned	titles,marginal comments	
nyp.33433069105918	1821	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles	
nyp.33433069105439	1822	English	Euclid.Elements:1-6	b&w	foldout,pasted cutouts	incomplete	titles,marginal comments	
nnc1.0035541830	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
nyp.33433069105454	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
mdp.39015068058026	1824	Greek,Latin	Euclid.Elements:1-6	b&w	foldout	incomplete	titles,lower comments	
uc1.$b419149	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
hvd.hxkiiy	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
hvd.hxkiiz	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
njp.32101058463462	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
uc1.b4249172	1824	German	Euclid.Elements:1-15	b&w,symbols	inline	good	titles	
nnc1.0035541849	1825	Greek,Latin	Euclid.Elements:4-6	b&w	foldout	incomplete	titles,lower comments	
nyp.33433087574376	1825	Greek,Latin	Euclid.Elements:4-6	b&w	foldout	incomplete	titles,lower comments	
nyp.33433069105447	1825	Greek,Latin	Euclid.Elements:4-6	b&w	foldout	incomplete	titles,lower comments	
njp.32101058463470	1825	Greek,Latin	Euclid.Elements:4-6	b&w	foldout	incomplete	titles,lower comments	
njp.32101058458512	1825	Greek	Euclid.Elements:1-6,11-12	b&w	inline	good	titles	
mdp.39015063888948	1825	Greek	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,lower comments	
inu.30000011423021	1825	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,lower comments	
hvd.32044036455731	1826	Greek	Euclid.Elements:1-9	b&w	foldout	incomplete	titles,marginal comments	
ien.35556034855312	1826	English	Euclid.Elements:1-6	b&w	inline	good	titles,inline comments,marginal comments,additional problems	
hvd.32044024497174	1826	English	Euclid.Elements:1-6	b&w	inline	good	titles,marginal comments,lower comments	
nnc1.0031469698	1827	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
uc1.$b530684	1827	English	Euclid.Elements:1-6,11-12	b&w,symbols	inline	good	titles,marginal comments	
uc2.ark:/13960/t1vd6td6f	1827	English	Euclid.Elements:1-6,11-12	color,symbols	inline	good	titles,marginal comments	
mdp.39015063898533	1827	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
hvd.32044004508636	1828	English	Euclid.Elements:1-6	b&w	inline	good	titles,lower comments	
mdp.39015063872744	1829	German	Euclid.Elements:1-6,11-12	b&w,symbols	foldout	incomplete	titles	
mdp.39015063898525	1829	English	Euclid.Elements:1-6,11-12	color	inline	good	titles,lower comments	
nyp.33433069105397	1832	English	Euclid.Elements:1-6	b&w,symbols,fractions	inline	good	titles,inline comments,lower comments	
mdp.39015028355132	1833	English	Euclid.Elements:1-6	b&w	foldout	incomplete	titles,marginal comments	
uva.x002630237	1834	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles	
hvd.hn62gp	1835	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
mdp.39015063630738	1835	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,marginal comments	
hvd.hw26iz	1835	English	Euclid.Elements:1-10	b&w	inline	good	titles,inline comments,lower comments	
hvd.hn6eyg	1837	English	Euclid.Elements:1-6	b&w	inline	good	titles	
mdp.39015074633697	1837	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,lower comments	
mdp.39015067252117	1838	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,lower comments	
hvd.32044020122263	1838	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,lower comments	
nyp.33433087574806	1840	English	Euclid.Elements:1-6	b&w	inline	good	titles,inline comments,lower comments	
hvd.hnyie5	1843	Italian	Euclid.Elements:1-6,11-13	b&w	foldout	incomplete	titles,scholia,lower comments	
njp.32101013826894	1843	English	Euclid.Elements:1-6	b&w	inline	good	titles,inline comments,lower comments	
uc1.$b527768	1844	French	Euclid.Elements:1	b&w	foldout	incomplete	titles,lower comments	
uc1.$b527777	1845	English	Euclid.Elements:1-6,11(selections)	b&w	inline	good	titles,inline comments,marginal comments	
njp.32101058463256	1850	English	Euclid.Elements:1-3	b&w	inline	good	titles,inline comments,scholia	
uc1.31822004731063	1850	English	Euclid.Elements:1-6	b&w,some color	inline	good	titles	additional problems
coo.31924005729557	1851	English	Euclid.Elements:1-6	b&w,symbols	inline	good	titles	
aeu.ark:/13960/t7sn17d02	1853	French	Euclid.Elements:1	b&w	inline	good	titles	microfilm, askew images
hvd.32044019984137	1853	English	Euclid.Elements:1-3	b&w	inline	good	titles,inline comments	
nyp.33433069096307	1853	English	Euclid.Elements:1-6	b&w	inline	good	titles	
nyp.33433069105389	1855	English	Euclid.Elements:1-6	b&w,symbols,fractions	inline	good	titles,inline comments,lower comments	
hvd.32044097044853	1855	English	Euclid.Elements:1-6	b&w	inline	good	titles	
nyp.33433069105751	1856	English	Euclid.Elements:1-6	b&w,symbols	inline	good	titles,lower comments	
chi.11689988	1857	English	Euclid.Elements:1-6	b&w,symbols,fractions	inline	good	titles,inline comments,lower comments	later annotations,later diagrams
nyp.33433087574681	1859	English	Euclid.Elements:4-6	b&w,Greek,symbols	inline	good	titles,inline comments	
chi.72764640	1860	German	Euclid.Elements:1-6,11-12	b&w,Blackletter,symbols	foldout	incomplete	titles	
hvd.32044097044945	1860	English	Euclid.Elements:1-6	b&w,symbols	inline	good	titles,lower comments	
njp.32101058431584	1861	English	Euclid.Elements:1-6,11-12(selections)	b&w	inline	good	titles	additional problems
uc1.$b527770	1862	English	Euclid.Elements:1-6	b&w	inline	good	titles	additional problems
uc2.ark:/13960/t28916976	1862	English	Euclid.Elements:1-6	color	inline	good	titles	duplicate of above
hvd.hwsr7f	1865	Hungarian	Euclid.Elements:1-15	b&w	inline	good	titles	most diagrams white on black boxes
nyp.33433069105744	1866	English	Euclid.Elements:1-6	b&w	inline	good	titles,inline comments	
uva.x001908807	1866	English	Euclid.Elements:1-6	b&w,symbols,fractions	inline	good	titles,inline comments,lower comments	
hvd.32044024497166	1866	English	Euclid.Elements:1-6,11-12	b&w,some color,symbols	inline	good	titles,marginal comments	
uva.x001426153	1866	English	Euclid.Elements:1-6,11-12	b&w,symbols	inline	good	titles	additional problems
hvd.32044080596406	1867	English	Euclid.Elements:1-6,11-12(selections)	b&w	inline	good	titles,inline/marginal comments	
hvd.32044097045082	1868	English	Euclid.Elements:4-6	b&w,Greek,symbols	inline	good	titles	later annotations,additional problems
aeu.ark:/13960/t8hd8tj0x	1871	English	Euclid.Elements:1	b&w	inline	good	titles	microfilm,badly imaged in some places
njp.32101058431287	1872	English	Euclid.Elements:1-2	b&w,symbols	inline	good	titles,inline comments,lower comments	
mdp.39015016781638	1872	English	Euclid.Elements:1-6	b&w	inline	good	titles	
mdp.39015051164252	1874	English	Euclid.Elements:5(ennunciations only)	b&w	none	none	titles,inline comments,alt proofs	
nyp.33433087574590	1889	English	Euclid.Elements:11	b&w,symbols	inline	good	titles,inline/marginal comments	additional problems
uc2.ark:/13960/t5fb52710	1891	English	Euclid.Elements:1-6,11	color,symbols	inline	good	titles,inline comments,marginal/inline comments	additional problems,later writing
uc1.$b527776	1891	English	Euclid.Elements:1-6,11	b&w,symbols	inline	good	titles,inline comments,marginal/inline comments	additional problems,later writing
nyp.33433069105298	1892	English	Euclid.Elements:1-6,11	b&w,symbols	inline	good	titles,inline comments,marginal/inline comments	additional problems
njp.32101027157229	1892	English	Euclid.Elements:1-6,11	b&w,symbols	inline	good	titles,inline comments,marginal/inline comments	
hvd.32044005536248	1894	English	Euclid.Elements:1-6	b&w,symbols	inline	good	titles,inline comments	additional notes,problems
mdp.39015064572400	1900	English	Euclid.Elements:1-4	b&w	inline	good	titles,inline/marginal comments	additional problems